0	0
1	0
2	23947
3	36568
4	81842
5	863
6	234
7	98554
8	61217
9	3238
10	1947
11	36
12	9803
13	132936
14	59856
15	91466
16	2673
17	370
18	8701
19	17436
20	8407
21	30970
22	1768
23	451
24	2662
25	58
26	22357
27	97
28	26438
29	29889
30	14846
31	20024
32	12491
33	21672
34	4294
35	2363
36	168
37	2143
38	143
39	7372
40	39479
41	48727
42	4772
43	1376
44	1366
45	7092
46	6919
47	0
48	14442
49	19843
50	302
51	495
52	127
53	38
54	1
55	1725
56	313161
57	0
58	94694
59	2420
60	2642
61	9444
62	47
63	95404
64	39833
65	27925
66	198
67	2027
68	342
69	494
70	146022
71	59
72	2063
73	7355
74	391
75	174
76	0
77	0
78	0
79	0
80	0
81	0
82	0
